SiteID;Longitude;Latitude
200576;598543;4318940
200581;594382;4285827
200589;548328;4316845
200593;599287;4316670
200627;599158;4316864
200639;625021;4347785
200671;600829;4329906
200695;599068;4316482
200724;598911;4309005
200726;549758;4246514
200730;534221;4346651
200732;534895;4346790
200741;596537;4318064
200742;598043;4317180
200754;564127;4272830
200758;615437;4243378
200761;613289;4258721
200762;550055;4232035
200769;650158;4331893
200770;563696;4262041
200771;566309;4260972
200772;548218;4282176
200773;651694;4347669
200774;620787;4299568
200775;567247;4241609
200776;559839;4289831
200777;559232;4285709
200778;557159;4220947
200779;558640;4231855
200781;552327;4286210
200783;544385;4255216
200784;550221;4239111
200785;549320;4236381
200786;549011;4240090
200787;552672;4242334
200789;561784;4252561
200790;554244;4252775
200791;568906;4246748
200794;571234;4232247
200799;583965;4246454
300002;722460;4249495
300003;718515;4286917
300004;716322;4247214
300005;749978;4269924
300007;774838;4290769
300008;700425;4238211
300009;691612;4263237
300010;694986;4246806
300011;712369;4275379
300012;757688;4301313
300013;672410;4250576
300014;717314;4246956
300015;701071;4244626
300016;703801;4206384
300017;741111;4269004
300018;686995;4278915
300019;691931;4235426
300020;769887;4303888
300021;704033;4288039
300022;680074;4216937
300023;718899;4249166
300025;686831;4207713
300026;678250;4227462
300027;685532;4241343
300028;737278;4277452
300029;720810;4269942
300030;725502;4276927
300031;749902;4282333
300032;733011;4282034
300033;739696;4284195
300034;741821;4290253
300035;733925;4297537
300036;688779;4223999
300037;718873;4246758
300038;761263;4304061
300039;714407;4230396
300040;693880;4220284
300041;695138;4250716
300042;715966;4252807
300043;697373;4200991
300045;756167;4303921
300047;764914;4296778
300049;764941;4289562
300050;762557;4280528
300051;701292;4237677
300052;692512;4261122
300053;725154;4252389
300054;720325;4246936
300055;703562;4223422
300056;721863;4295660
300057;712928;4240661
300058;759688;4280565
300059;705256;4213576
300060;697570;4197169
300061;763593;4288550
300062;705460;4218965
300063;733516;4262157
300064;688267;4256554
300065;719090;4246904
300066;703081;4273373
300067;704867;4209139
300068;778291;4294033
300069;720254;4248364
300070;751600;4276801
300071;700723;4202116
300072;722681;4291538
300073;690240;4267442
300074;752364;4269081
300076;674360;4286088
300077;767345;4285852
300078;719617;4282790
300079;750918;4269205
300082;717034;4236189
300083;765745;4305558
300084;749821;4303191
300085;742234;4266198
300086;748631;4269364
300087;730291;4260209
300088;693745;4257681
300090;719747;4248598
300091;700304;4236857
300092;723701;4254501
300093;705755;4218074
300095;704898;4205788
300096;706197;4208597
300097;712232;4230102
300098;702666;4205434
300099;678719;4221564
300102;696095;4195506
300103;688736;4197737
300104;699437;4199374
300105;725643;4249161
300106;699403;4214506
300107;701755;4204034
300108;768692;4304204
300109;774742;4298266
300110;755963;4276381
300111;755497;4273226
300112;737423;4264881
300113;756950;4276248
300114;704621;4247515
300117;702618;4238212
300118;725808;4256681
300119;711034;4277657
300120;694118;4262033
300121;773301;4286868
300123;702744;4278598
300124;699787;4218088
300126;719855;4251586
300127;750029;4269364
300128;765152;4281655
300129;767690;4282727
300132;770137;4291271
300133;776254;4298849
300134;767382;4281369
300135;777122;4296751
300136;740974;4265437
300137;746528;4268435
300139;768396;4296099
300140;698942;4240061
300141;696069;4236561
300142;679666;4217069
300143;680652;4217375
300144;708971;4246758
300145;713643;4247327
300146;686839;4228252
300147;719405;4246928
300148;762057;4301803
300149;761346;4303442
300151;719803;4247844
300152;718272;4247965
300154;712755;4243065
300155;715199;4238961
300156;710730;4241064
300157;719617;4263199
300158;717183;4267519
300159;685878;4278257
300160;720314;4276599
300161;751016;4269884
300162;695613;4223617
300163;692553;4226075
300164;685110;4223688
300166;684617;4214870
300167;718705;4285772
300168;719665;4286215
300169;749564;4278634
300170;716785;4252282
300171;719801;4249217
300172;720198;4250030
300173;765043;4301660
300174;769025;4303554
300175;700770;4237419
300177;700275;4239137
300179;780241;4292816
300180;771982;4296875
300182;720197;4247137
300184;763532;4298150
300185;702319;4210859
300186;726020;4250411
300187;714057;4229807
300189;717894;4247079
300192;759284;4306592
300193;752605;4273738
300194;706726;4235101
300195;714058;4232895
300196;719031;4247438
300197;685984;4221992
300198;706173;4255765
300199;689546;4269919
300200;742570;4272087
300201;695146;4205686
300202;696685;4217363
300203;683550;4220183
300204;727195;4296559
300205;759031;4291634
300206;754602;4297485
300207;743701;4284689
300208;743575;4283923
300210;770963;4301915
300211;684305;4278642
300213;738021;4271464
300215;728872;4258114
300217;698490;4249633
300218;780001;4294101
300219;763867;4283637
300223;690907;4231857
300224;677797;4215950
300225;723525;4262279
300227;683787;4247649
300228;709365;4265489
300230;702772;4232058
300231;681830;4265410
300232;690017;4282823
300233;675471;4245514
300234;698176;4211336
300235;750564;4269425
300236;769445;4303216
300237;705990;4216557
300239;749456;4269339
300240;752566;4271638
300241;754306;4291072
300242;718392;4249800
300244;747204;4268023
300247;701420;4237083
300248;692247;4260771
300249;701548;4221167
300251;721816;4289639
300252;726340;4252438
300253;694525;4261424
300254;719195;4247109
300255;696813;4193170
300256;682633;4291960
300257;700211;4237712
300258;694389;4276668
300259;705853;4211151
300261;720195;4287734
300262;703178;4206008
300264;722328;4250322
300266;718955;4246742
300267;705694;4206644
300268;756701;4279783
300269;720185;4246490
300271;766659;4305341
300272;720549;4227317
300273;680452;4238053
300275;694664;4246005
300276;686185;4277016
300279;694879;4251540
300282;724077;4252931
300283;690027;4256111
300284;764592;4305523
300285;723026;4255014
300287;722950;4295732
300289;728422;4286105
300292;755194;4274481
300293;751792;4286823
300294;693020;4285572
300295;695323;4244511
300297;682523;4256283
300298;726767;4255019
300300;729470;4264330
300302;706352;4232944
300303;749882;4271720
300304;751564;4284756
300305;702630;4253812
300308;738679;4300617
300309;736765;4291092
300310;699916;4200686
300313;717397;4245009
300314;713953;4253511
300315;773239;4291696
300316;771283;4286060
300318;737510;4285052
300319;751053;4295060
300322;719233;4246887
300324;746040;4269292
300325;772653;4286653
300326;756790;4275991
300328;769683;4303615
300336;678114;4278169
300338;680713;4216585
300343;703754;4205853
300345;747747;4268835
300346;750266;4269647
300347;724576;4248599
300351;777894;4291640
300354;711849;4241432
300357;733370;4301332
300361;686290;4278872
300362;721146;4282102
300364;719100;4247722
300369;719353;4246736
300370;719308;4246587
300376;695609;4212642
300377;719440;4247235
300378;719869;4246870
300381;720140;4247016
300383;719304;4247340
300384;719962;4247192
300386;718795;4246714
300387;728353;4256936
300388;717486;4230488
300393;725920;4249883
300396;719674;4247252
300399;756670;4275991
300402;720162;4248669
300403;700585;4238444
300404;700884;4237757
300405;700141;4238671
300406;701195;4237521
300409;722699;4253381
300410;704362;4238605
300412;770966;4302997
300414;722167;4293782
300415;721067;4249659
300418;714588;4247679
300420;677235;4287504
300422;705001;4206997
300424;720163;4247105
300425;719484;4246475
300426;719255;4246386
300427;719423;4247523
300428;696509;4232921
300430;711329;4229896
300431;699114;4203118
300433;711303;4277859
300436;720390;4247538
300438;716803;4233891
300444;720158;4248832
300446;720398;4248056
300447;706006;4217986
300449;704254;4209175
300450;706185;4217672
300451;719689;4246283
300452;730572;4259992
300455;709402;4233348
300458;680256;4217104
300459;700532;4237057
300464;769307;4303822
300467;724443;4249203
300469;767235;4281302
300474;717108;4244233
300475;702916;4236996
300476;723387;4252181
300480;716760;4296902
300481;721512;4248989
300483;712812;4294352
300486;689289;4226807
300487;698678;4199454
300489;704581;4224336
300490;724807;4276598
300493;694850;4250539
300495;696140;4200795
300501;705842;4217701
300503;768381;4283639
300504;727441;4256789
300506;719644;4247126
300507;752341;4269300
300508;750315;4269550
300509;713639;4230168
300510;716934;4230171
300511;711728;4229971
300512;717269;4237032
300514;719446;4246988
300519;750192;4269266
300520;749575;4269554
300522;749827;4269455
300523;737985;4264042
300524;709139;4241542
300527;715053;4234600
300529;680977;4218105
300531;719426;4248322
300532;719534;4247086
300534;703721;4238364
300537;700045;4198513
300538;704266;4206633
300539;741612;4265781
300540;749721;4269446
300541;752240;4269626
300542;747052;4272008
300548;676297;4221300
300552;704125;4243912
300554;746450;4298692
300559;705835;4209095
300560;751234;4269493
300562;719414;4286661
300564;700048;4238764
300568;724125;4249160
300569;725292;4248858
300570;713632;4229184
300571;693341;4254150
300575;720226;4249022
300578;719100;4250368
300579;718309;4246483
300580;700969;4237872
300581;706469;4220578
300582;717610;4269072
300583;705278;4206762
300584;764800;4284274
300586;749723;4275968
300589;761259;4280568
300593;720226;4247934
300596;697935;4197122
300597;695865;4202121
300598;699129;4198392
300605;679642;4216916
300610;719610;4247164
300614;718260;4246648
300617;719789;4248678
300619;692778;4261053
300621;692576;4261183
300622;692596;4261215
300625;692423;4260837
300627;692428;4261261
300632;768616;4284151
300633;769965;4286715
300634;751513;4269425
300637;680481;4216913
300638;703306;4238970
300640;720712;4247576
300644;702608;4238721
300647;700830;4237858
300650;700675;4237938
300652;704339;4238002
300655;749750;4269409
300656;719594;4250073
300660;717724;4246887
300661;717515;4246557
300663;727795;4256085
300666;742375;4265921
300676;715642;4242093
300680;767319;4281179
300699;757146;4276939
300704;710725;4259718
300714;754490;4270891
300717;687493;4226446
300718;718970;4248601
300719;693608;4215871
300723;717630;4251492
300732;716349;4243592
300738;703855;4207246
300739;747222;4268665
300740;743430;4268587
300741;698847;4236863
300742;712161;4245994
300744;718657;4246482
300745;719369;4248660
300747;715057;4253495
300748;720838;4248610
300751;719907;4248262
300756;719503;4247589
300758;719253;4247068
300759;719224;4246729
300760;724065;4250086
300761;717083;4246210
300762;718851;4248755
300763;720695;4247584
300764;716084;4253240
300765;718476;4246811
300766;767097;4299932
300771;700006;4238317
300777;702897;4206687
300780;757149;4276648
300781;757785;4277565
300783;752009;4269362
300785;749381;4269781
300786;747722;4268901
300787;766508;4281886
300788;765983;4281655
300790;727802;4256673
300791;727697;4255616
300794;768496;4304733
300797;704698;4208117
300798;704538;4206338
300804;703845;4205276
300806;724703;4253801
300824;719140;4246765
300843;695178;4258464
300848;712293;4232039
300871;717660;4245862
300876;758780;4278830
300910;716998;4247088
300919;737490;4281492
300923;680211;4216563
300924;685532;4279195
300925;741345;4265815
300926;694138;4261688
300927;694023;4259867
300928;745279;4306462
300929;760436;4295468
300935;720735;4257233
300937;724130;4294655
300942;732645;4284861
300953;759945;4305356
300958;724396;4299866
300959;680854;4241255
300962;682674;4250102
300971;695155;4191950
300972;680304;4216806
300973;703085;4273947
300974;699883;4237885
300977;689214;4218142
300978;719697;4284614
300979;720764;4288080
300980;679596;4217866
300982;690358;4259327
300986;726956;4256639
300996;740540;4301061
301006;756450;4276336
301010;751091;4270577
301011;717774;4251188
301012;702665;4209573
301018;719318;4253314
301022;694886;4200937
301023;698640;4198409
301024;701727;4208467
301027;697601;4196249
301032;681617;4219760
301033;680504;4217017
301034;722608;4255981
301048;719165;4246675
301051;708590;4241638
301052;701180;4237822
301059;746464;4270965
301060;720327;4253205
301079;730135;4296175
301100;720695;4253432
301103;688697;4256055
301105;761855;4302122
301107;757026;4276881
301115;691773;4200298
301117;692864;4261013
301120;700639;4204227
301126;716486;4253057
301130;726252;4248405
301139;694197;4222365
301146;719398;4246913
301159;700664;4237656
301160;701608;4237556
301161;701446;4238139
301162;741320;4265839
301163;748661;4271646
301170;717525;4251869
301172;749899;4269765
301173;725832;4253094
301183;685480;4278779
301185;699145;4239380
301195;747651;4303567
301196;719702;4247408
301197;733730;4289462
301198;738831;4297354
301199;766933;4291008
301203;685891;4214718
301204;692528;4226834
301206;702573;4275510
301207;683694;4225908
301208;693893;4262797
301209;719124;4266312
301211;714879;4229932
301212;700027;4236880
301218;695190;4246012
301219;701289;4237359
301223;706442;4249500
301225;694254;4193080
301236;750923;4270386
301250;700954;4238377
301260;686374;4227972
301263;708064;4241035
301264;705578;4207279
301266;749741;4277187
301267;693299;4278356
301269;738912;4266007
301271;718927;4251840
301272;724249;4258242
301273;693823;4235810
301274;691607;4235626
301279;703690;4205711
301282;713427;4255537
301286;749964;4302997
301287;770418;4303770
301288;772948;4302322
301289;718757;4247401
301290;717385;4245315
301291;718944;4249919
301292;719796;4249777
301306;705679;4208163
301307;749994;4269093
301310;767399;4304724
301313;702048;4207165
301316;765795;4289753
301318;702825;4235475
301320;771786;4301394
301322;713055;4230624
301324;705524;4221627
301325;688508;4219556
301328;749994;4273830
301332;762030;4301249
301335;762478;4300913
301336;727899;4255677
301341;687761;4256332
301347;722752;4251710
301352;752024;4292642
301354;716525;4251987
301358;719680;4247692
301367;700942;4235479
301368;701496;4237430
301392;701916;4236940
301401;720988;4249350
301402;751220;4303439
301405;713802;4240476
301406;677042;4217885
301410;714396;4234541
301411;690803;4233119
301412;692871;4235152
301413;698472;4202748
301420;689853;4216264
301421;705247;4218194
301422;691569;4236040
301423;705768;4218419
301424;693178;4218994
301426;700036;4239455
301431;706079;4218203
301432;705921;4217276
301436;682208;4224071
301478;719442;4250572
301479;766633;4281487
301485;722268;4253300
301487;715408;4229812
301490;719678;4248740
301491;775217;4298130
301492;754653;4273164
301499;708076;4240547
301501;706317;4224711
301511;734318;4274684
301512;694959;4193103
301525;699272;4237413
301535;704316;4242124
301547;700709;4238757
301553;765548;4302775
301559;750253;4303724
301582;724916;4250624
301589;690143;4211032
301599;699258;4204305
301600;696436;4192421
301601;721178;4249864
301602;776825;4296489
301604;766648;4296153
301605;719203;4247154
301607;686361;4220574
301609;709144;4240659
301611;719773;4247450
301625;724050;4252068
301642;767131;4297482
301681;688100;4217585
301687;698798;4215834
301693;767352;4282413
301698;747579;4272285
301707;674954;4285896
301747;776286;4297525
301755;696762;4191137
301763;745868;4272579
301768;704349;4205700
301773;715869;4257928
301800;693600;4201237
301839;719635;4246777
301846;700930;4216064
301916;718650;4247812
301918;693587;4261497
301950;714526;4229714
301951;761254;4305907
301953;725929;4249895
301960;716252;4230032
301961;708409;4240352
301965;725280;4249374
301996;716624;4252710
301998;743447;4267126
302005;746919;4268351
302011;699829;4236587
302034;717698;4247336
302062;692720;4260208
302079;717442;4244981
302102;691362;4257622
302113;698865;4200426
302122;755788;4273055
302129;700421;4238393
302137;699291;4202242
302138;699106;4204387
302144;694283;4236629
302148;700829;4237807
302169;693011;4261331
302182;700786;4236779
302193;706963;4241821
302195;685933;4222233
302209;692885;4261566
302214;726191;4249207
302225;697153;4193607
302231;692048;4261113
302241;770081;4286920
302243;696338;4193274
302251;778230;4295448
302252;719330;4246987
302255;694734;4250007
302256;703284;4215346
302258;699848;4203544
302270;720612;4248269
302287;760101;4280858
302288;768602;4304967
302292;719571;4285703
302294;772192;4302181
302307;703024;4241409
302313;719851;4247340
302316;721986;4295410
302320;682711;4282619
302324;720824;4259399
302328;714671;4285737
302329;717048;4237186
302339;716640;4252464
302358;717139;4245874
302361;705392;4221415
302370;720620;4250197
302388;721336;4251172
302389;716276;4252539
302392;721097;4248478
302397;763148;4305419
302398;772466;4289362
302402;752669;4270201
302405;706041;4223717
302411;774752;4291203
302418;752353;4274067
302430;722505;4288899
302433;768016;4283318
302436;706680;4238825
302442;701633;4237953
302444;701597;4237964
302447;717411;4249406
302452;718918;4246956
302455;725932;4253534
302462;754589;4273249
302468;699373;4219951
302470;770115;4294055
302484;718760;4247823
302491;719714;4286922
302509;687024;4226411
302585;755571;4289721
302590;704478;4208485
400001;519401;4110637
400002;538325;4090384
400003;552041;4122782
400006;522982;4096198
400007;517701;4081523
400008;549645;4078865
400009;571250;4173307
400010;573585;4084994
400011;548455;4077166
400012;581549;4167442
400013;599691;4136142
400014;571048;4162677
400015;584238;4117205
400016;568566;4151460
